,10899,90.4,322.42,7444.39,6362.39,3653.87,2655.03,-2518.94,0.91,0.38,-0.83,404311.47,1831826.12,N   39 36 32.53,W   79 59   6.41
,10993,89.78,322.35,7444.24,6362.24,3747.77,2729.49,-2576.31,0.66,-0.66,-0.07,404385.92,1831768.75,N   39 36 33.26,W   79 59   7.14
,11088,90.31,321.45,7444.17,6362.17,3842.7,2804.25,-2634.93,1.1,0.56,-0.95,404460.68,1831710.13,N   39 36 33.99,W   79 59   7.90
,11183,89.43,321.53,7444.38,6362.38,3937.66,2878.59,-2694.08,0.93,-0.93,0.08,404535.01,1831650.98,N   39 36 34.73,W   79 59   8.66
,11277,88.99,321.68,7445.68,6363.68,4031.6,2952.25,-2752.46,0.49,-0.47,0.16,404608.67,1831592.61,N   39 36 35.45,W   79 59   9.41
,11372,88.99,322.59,7447.36,6365.36,4126.5,3027.24,-2810.76,0.96,0,0.96,404683.65,1831534.31,N   39 36 36.19,W   79 59 10.16
,11466,89.43,323.04,7448.65,6366.65,4220.36,3102.12,-2867.56,0.67,0.47,0.48,404758.53,1831477.51,N   39 36 36.93,W   79 59 10.89
,11561,90.84,323.22,7448.43,6366.43,4315.2,3178.12,-2924.56,1.5,1.48,0.19,404834.52,1831420.52,N   39 36 37.67,W   79 59 11.63
,11656,90.57,322.73,7447.26,6365.26,4410.04,3253.96,-2981.76,0.59,-0.28,-0.52,404910.36,1831363.32,N   39 36 38.42,W   79 59 12.36
,11751,90.84,322.39,7446.09,6364.09,4504.92,3329.38,-3039.51,0.46,0.28,-0.36,404985.77,1831305.57,N   39 36 39.16,W   79 59 13.10
,11845,90.48,323.37,7445.01,6363.01,4598.77,3404.33,-3096.24,1.11,-0.38,1.04,405060.72,1831248.85,N   39 36 39.90,W   79 59 13.83
,11940,91.45,324.81,7443.41,6361.41,4693.49,3481.26,-3151.95,1.83,1.02,1.52,405137.64,1831193.15,N   39 36 40.66,W   79 59 14.55
,12034,91.1,324.9,7441.32,6359.32,4787.1,3558.1,-3206.04,0.38,-0.37,0.1,405214.48,1831139.05,N   39 36 41.41,W   79 59 15.25
,12129,91.28,324.96,7439.34,6357.34,4881.69,3635.84,-3260.62,0.2,0.19,0.06,405292.21,1831084.48,N   39 36 42.18,W   79 59 15.95
,12224,90.92,324.68,7437.52,6355.52,4976.3,3713.47,-3315.34,0.48,-0.38,-0.29,405369.84,1831029.76,N   39 36 42.94,W   79 59 16.66
,12319,91.28,324.72,7435.69,6353.69,5070.94,3790.99,-3370.23,0.38,0.38,0.04,405447.36,1830974.88,N   39 36 43.71,W   79 59 17.36
,12413,91.28,324.55,7433.59,6351.59,5164.57,3867.62,-3424.62,0.18,0,-0.18,405523.99,1830920.49,N   39 36 44.46,W   79 59 18.06
,12508,91.01,324.35,7431.7,6349.7,5259.24,3944.9,-3479.84,0.35,-0.28,-0.21,405601.26,1830865.27,N   39 36 45.22,W   79 59 18.77
,12603,91.36,324.98,7429.73,6347.73,5353.87,4022.38,-3534.77,0.76,0.37,0.66,405678.74,1830810.34,N   39 36 45.99,W   79 59 19.48
,12697,91.28,324.43,7427.57,6345.57,5447.5,4099.08,-3589.07,0.59,-0.09,-0.59,405755.43,1830756.05,N   39 36 46.74,W   79 59 20.18
,12792,91.19,325.29,7425.52,6343.52,5542.1,4176.75,-3643.74,0.91,-0.09,0.91,405833.1,1830701.39,N   39 36 47.50,W   79 59 20.88
,12886,90.92,325.39,7423.79,6341.79,5635.64,4254.06,-3697.19,0.31,-0.29,0.11,405910.4,1830647.94,N   39 36 48.27,W   79 59 21.57
,12981,91.8,323.86,7421.53,6339.53,5730.27,4331.49,-3752.17,1.86,0.93,-1.61,405987.83,1830592.96,N   39 36 49.03,W   79 59 22.28
,13075,91.98,324.14,7418.43,6336.43,5823.97,4407.5,-3807.39,0.35,0.19,0.3,406063.83,1830537.75,N   39 36 49.78,W   79 59 22.99
,13170,90.75,324.86,7416.17,6334.17,5918.61,4484.82,-3862.54,1.5,-1.29,0.76,406141.14,1830482.6,N   39 36 50.54,W   79 59 23.70
,13264,90.75,324.73,7414.94,6332.94,6012.25,4561.62,-3916.72,0.14,0,-0.14,406217.94,1830428.42,N   39 36 51.29,W   79 59 24.40
,13359,89.78,324.91,7414.5,6332.5,6106.88,4639.26,-3971.46,1.04,-1.02,0.19,406295.58,1830373.69,N   39 36 52.06,W   79 59 25.10
,13454,89.69,325.04,7414.94,6332.94,6201.48,4717.06,-4025.98,0.17,-0.09,0.14,406373.37,1830319.17,N   39 36 52.82,W   79 59 25.81
,13549,89.96,325.61,7415.23,6333.23,6296.04,4795.19,-4080.03,0.66,0.28,0.6,406451.49,1830265.12,N   39 36 53.59,W   79 59 26.50
,13643,90.92,323.98,7414.51,6332.51,6389.67,4871.99,-4134.21,2.01,1.02,-1.73,406528.29,1830210.94,N   39 36 54.35,W   79 59 27.20
,13738,90.04,323.07,7413.71,6331.71,6484.46,4948.37,-4190.69,1.33,-0.93,-0.96,406604.67,1830154.47,N   39 36 55.10,W   79 59 27.93
final survey,13836,90.75,323.29,7413.04,6331.04,6582.28,5026.82,-4249.42,0.76,0.72,0.22,406683.11,1830095.74,N   39 36 55.87,W   79 59 28.68
Projection to TD,13874,90.75,323.29,7412.54,6330.54,6620.21,5057.28,-4272.13,0,0,0,406713.57,1830073.03,N   39 36 56.17,W   79 59 28.97
